,idx,lat,lon,location_type,types
5835,116866,40.5989033,-74.0721418,GEOMETRIC_CENTER,['intersection']
5836,116870,40.6385363,-73.9731096,GEOMETRIC_CENTER,['intersection']
5837,116900,40.833658,-73.8628355,GEOMETRIC_CENTER,['intersection']
5838,116951,40.7560341,-73.9869384,GEOMETRIC_CENTER,['intersection']
5839,116968,40.7636321,-73.9989763,GEOMETRIC_CENTER,['intersection']
5840,116971,40.7817409,-73.8256707,GEOMETRIC_CENTER,['intersection']
5841,116978,40.6385363,-73.9731096,GEOMETRIC_CENTER,['intersection']
5842,117007,40.64092369999999,-73.9735713,GEOMETRIC_CENTER,['intersection']
5843,117019,40.5498474,-74.2213795,ROOFTOP,['street_address']
5844,117043,40.8627253,-73.90229479999999,GEOMETRIC_CENTER,['intersection']
5845,117048,40.7857467,-73.8068638,GEOMETRIC_CENTER,['intersection']
5846,117086,40.8581126,-73.8566395,GEOMETRIC_CENTER,['intersection']
5847,117138,40.8440553,-73.8997188,GEOMETRIC_CENTER,['intersection']
5848,117150,40.7188765,-73.79088360000002,GEOMETRIC_CENTER,['intersection']
5849,117242,40.689495,-73.790482,ROOFTOP,['street_address']
5850,117243,40.8123496,-73.92895589999999,GEOMETRIC_CENTER,['intersection']
5851,117248,40.752376,-73.906644,ROOFTOP,['street_address']
5852,117253,40.6849134,-73.97807499999999,GEOMETRIC_CENTER,['intersection']
5853,117273,40.7643218,-73.99871220000001,GEOMETRIC_CENTER,['intersection']
5854,117305,40.6671163,-73.8122563,GEOMETRIC_CENTER,['intersection']
5855,117318,40.758204,-73.8979389,ROOFTOP,['street_address']
5856,117347,40.8011125,-73.8292316,GEOMETRIC_CENTER,"['establishment', 'point_of_interest']"
5857,117394,40.7163444,-73.80309919999999,GEOMETRIC_CENTER,['intersection']
5858,117455,40.7463232,-73.89632639999999,GEOMETRIC_CENTER,['intersection']
5859,117456,40.6118706,-74.1382454,GEOMETRIC_CENTER,['intersection']
5860,117488,40.6899393,-73.9835509,GEOMETRIC_CENTER,['intersection']
5861,117501,40.7472903,-73.97583879999999,GEOMETRIC_CENTER,['intersection']
5862,117522,40.7123058,-73.8895177,GEOMETRIC_CENTER,['intersection']
5863,117588,40.6644313,-73.9939935,GEOMETRIC_CENTER,['intersection']
5864,117606,40.7655929,-73.9037089,GEOMETRIC_CENTER,['intersection']
5865,117616,40.856701,-73.8693195,GEOMETRIC_CENTER,['intersection']
5866,117669,40.7648602,-73.9980458,GEOMETRIC_CENTER,['intersection']
5867,117723,40.7470334,-73.97720489999999,GEOMETRIC_CENTER,['intersection']
5868,117723,40.6554315,-74.00626059999999,GEOMETRIC_CENTER,['intersection']
5869,117766,40.7869773,-73.81341880000001,GEOMETRIC_CENTER,['intersection']
5870,117776,40.8404054,-73.8423225,GEOMETRIC_CENTER,['intersection']
5871,117784,40.748369,-73.96864819999999,GEOMETRIC_CENTER,['intersection']
5872,117804,40.67694609999999,-73.9001339,GEOMETRIC_CENTER,['intersection']
5873,117823,40.7716252,-73.8335018,GEOMETRIC_CENTER,['intersection']
5874,117840,40.6385363,-73.9731096,GEOMETRIC_CENTER,['intersection']
5875,117950,40.8558174,-73.86992409999999,GEOMETRIC_CENTER,['intersection']
5876,118020,40.5952501,-73.7579755,GEOMETRIC_CENTER,['intersection']
5877,118051,40.63151879999999,-73.9717917,GEOMETRIC_CENTER,['intersection']
5878,118067,40.8720157,-73.91949439999999,RANGE_INTERPOLATED,['street_address']
5879,118106,40.873244,-73.887138,GEOMETRIC_CENTER,"['establishment', 'point_of_interest', 'subway_station', 'transit_station']"
5880,118110,40.7460287,-73.7678517,GEOMETRIC_CENTER,['intersection']
5881,118137,40.767467,-73.9964269,GEOMETRIC_CENTER,['intersection']
5882,118141,40.6753607,-73.8900608,GEOMETRIC_CENTER,['intersection']
5883,118154,40.6361491,-73.9726597,GEOMETRIC_CENTER,['intersection']
5884,118158,40.6000902,-73.94169409999999,RANGE_INTERPOLATED,['street_address']
